y,x1,x2
-0.626453811,0.182076616,-0.158843294
1.595280802,0.333494944,0.93764501
0.487429052,0.73954097,0.910929242
-0.305388387,1.511012973,1.250328071
-0.621240581,-2.216246068,-2.190143832
-0.044933609,-0.016302547,0.024613271
0.821221195,0.595952518,0.94736585
0.782136301,0.076520091,0.282878935
0.619825748,-0.054579,0.208938131
-1.470752384,-0.481825442,-1.042195962
1.358679552,-0.099390707,0.521523557
-0.053805041,-1.377189766,-1.286740682
-0.394289954,-0.060298936,-0.156089024
0.763175748,-0.162615143,0.167685234
0.696963375,0.558403868,0.760021326
-0.707495157,0.362812085,0.06830503
-0.112346212,0.880824107,0.767843994
-0.612026393,0.339588559,-0.029312287
1.433023702,1.983976269,2.379069044
-1.044134626,0.567107511,0.050363116
2.401617761,-0.033235836,1.050151202
0.028002159,-0.743200881,-0.644101504
-1.804958629,1.461037885,0.543113666
2.17261167,0.480939572,1.326348794
0.610726353,-0.932567897,-0.652300236
0.291446236,-0.442561872,-0.27180867
0.074341324,-0.589333251,-0.532890046
-0.135178615,1.177745369,0.905380608
0.593946188,0.334434196,0.623143307
-0.304183924,0.369257194,0.217099181
-0.542520031,1.206507731,0.922155382
0.70021365,1.58857903,1.764793684
-1.276592208,-0.576455103,-1.145495025
-0.473400636,-0.62154824,-0.760419694
-0.910921649,0.155750974,-0.294097229
1.767287269,0.721123454,1.467873972
0.384185358,1.683131287,1.639058285
-0.46164473,1.431123651,1.046369544
-0.207380744,-0.393325154,-0.462938312
-0.279113303,0.493489004,0.311949677
-0.505957462,1.341769735,0.974038055
-0.17955653,-0.100639319,-0.123688904
-0.073564404,-0.037817965,-0.108129222
-0.324270272,0.059349577,-0.123304515
0.531496193,-1.517060596,-1.114829105
-1.536449824,-0.304816311,-0.970303593
-0.652094781,-0.058526837,-0.453206206
1.176583312,-1.662025775,-1.014398474
-1.115920105,-0.753606455,-1.029455615
0.01739562,-1.286253022,-1.250450456
0.450187101,-0.017434307,0.158974852
-0.929362147,-1.489779067,-1.807077404
1.000028804,-0.618764681,-0.210287585
1.869290622,0.429772275,1.178669786
1.058483049,0.889066089,1.217638574
2.206102465,-0.249510977,0.639924369
-0.144399602,0.207176692,0.267299802
0.105802368,0.457261883,0.451845786
-0.334000842,-0.035560922,-0.127238507
2.075245009,1.032577341,1.899283792
-1.231323422,0.980814187,0.363397385
-1.467250029,0.517352989,-0.178549232
1.464587312,-0.762418137,-0.079456212
-0.926109497,-0.179418682,-0.53620128
-0.731748173,0.828541203,0.353523915
-1.047984413,1.438533242,0.777118015
0.411974712,-0.380044923,-0.138192852
1.688873286,1.590805659,2.13846535
-2.285235535,2.491940696,1.294136812
0.541327336,-0.012046163,0.254656455
-0.164375832,0.420282389,0.281850537
-1.370207878,0.984409661,0.387448617
-0.308740569,-1.25405769,-1.220455686
-0.044709137,-1.733324763,-1.576949534
-0.630300334,-0.342543265,-0.651941055
1.803141908,-0.326623147,0.385350052
0.197193439,0.263667808,0.260842668
-2.888920672,-0.647702003,-1.794229519
-0.059723276,-0.098327745,-0.079299883
-1.186458639,1.09380747,0.470318904
0.707310667,1.03587278,1.250306016
-0.878707613,1.160764153,0.539398241
-0.54479074,-0.257031887,-0.476595599
1.020463909,0.138772627,0.590718172
